chromosome geneName geneId transId transLenTrue Ps piS Ss_p Pn piN Sn_p Ds kS Ss_d Dn kN Sn_d DoS alphaMK
3R alpha-Est2 FBgn0015570 FBtr0081540 1958 17 0.00673347768798109 388.839183333332 24 0.00159953921668063 1309.09789166667 65 0.169774919614148 388.749999999999 12 0.00916555279740309 1309.25 -0.140730755174382 -6.64705882352941
2L crq FBgn0015924 FBtr0078087 2775 25 0.00231738374766726 334.48692 9 0.000176349055916233 1138.51308 36 0.107196029776675 335.833333333333 17 0.0149593018992447 1136.41666666666 0.0517444086120954 0.237647058823529
2L Lectin-galC1 FBgn0016675 FBtr0081201 759 5 0.00106439632753641 127.920666666667 9 0.00178917688054452 430.079333333334 19 0.156351791530945 127.916666666667 9 0.0209261770974617 430.083333333334 -0.508953650273626 -2.8
3L Pitslre FBgn0016696 FBtr0078247 3355 27 0.00315185223809486 659.965333333334 18 0.000313942963325346 2196.03466666667 65 0.0983110662969498 661.166666666667 19 0.00865669375047458 2194.83333333334 -0.00965517720464033 -1.28070175438596
3R Surf4 FBgn0019925 FBtr0083117 1641 20 0.00614695154834155 196.805666666667 2 3.5876455222228e-05 613.194333333333 8 0.0405405405405405 197.333333333333 2 0.00326441784548422 612.666666666667 0.0687190552083272 0.6
2L Sr-CIII FBgn0020376 FBtr0077466 1168 45 0.0340580947156903 203.324931333333 74 0.00735117356686789 756.318068666666 11 0.0543657331136738 202.333333333334 20 0.0263968323801144 757.666666666666 0.149320060602441 0.0955555555555556
2R Sr-CII FBgn0020377 FBtr0088004 2043 80 0.0296998557689493 396.567586463333 87 0.00543280774451671 1400.43230142667 25 0.0655737704918034 396.499999999999 10 0.00714030703320242 1400.5 -0.0564399066982319 -1.71875
X Tsf1 FBgn0022355 FBtr0074559 2017 97 0.0227919286445796 469.295508333332 39 0.000746368697737764 1453.70449166667 36 0.0786049393644333 470.708333333332 11 0.007574236121073 1452.29166666667 0.0561807058284183 -0.315838800374883
3L aay FBgn0023129 FBtr0076457 1529 21 0.0188890542992148 194.58 6 0.000702338589353102 615.42 5 0.0256191289496157 195.166666666667 2 0.00325291406885335 614.833333333333 0.0768172261335836 0.285714285714286
2L vig FBgn0024183 FBtr0080718 3209 38 0.00474195455943018 334.978333333333 14 0.000342551812079543 1135.02166666667 24 0.0716952949962659 334.75 4 0.00352811466372657 1133.75 -0.020469876992808 -1.21052631578947
3R Mekk1 FBgn0024329 FBtr0083684 5246 153 0.0192318730406437 1113.05123 25 0.000404888550902643 3599.94876999997 90 0.0809443507588531 1111875 10 0.00277690999340486 3601.12499999997 0.0125496097144224 -0.470588235294118
3R MED6 FBgn0024330 FBtr0082161 1758 8 0.00404548822939421 170.7116 7 0.000788600601621286 576.2884 14 0.0821515892420537 170.416666666667 3 0.00520306402659344 576.583333333334 -0.103570717308207 -3.08333333333333
X DIP1 FBgn0024807 FBtr0077371 3553 1 0.000307212577006161 287.333333333333 1 1.27668163080574e-05 939.666666666665 1 0.00347222222222222 288 2 0.00212992545260916 938.999999999998 0.340299149515917 0.5
2R Cyp6g1 FBgn0025454 FBtr0087992 2061 65 0.0227917536250319 367.026640333333 27 0.0011298326945947 1204.97335966667 43 0.119402985074627 368.499999999999 17 0.0141254673867885 1203.5 0.0585555224975349 -0.0506787330316743
3R CREG FBgn0025456 FBtr0089896 899 24 0.022765748358643 147.3066125 20 0.00297547746264276 485.693387500001 7 0.0474576271186441 147.5 3 0.00617919670442842 485.500000000001 -0.000387536302927718 -0.944444444444445
2R IM2 FBgn0025583 FBtr0086664 367 7 0.0265166063061639 34.6276666666667 2 0.00202766023810115 100.372333333333 3 0.0857142857142857 35 1 0.01 100 0.0334419720874842 0.142857142857143
2L CaBP1 FBgn0025678 FBtr0080837 1723 45 0.0220776987333159 308.149333333333 21 0.000741671591776432 990.850666666665 17 0.0552097428958052 307.916666666667 2 0.00201799377785252 991.083333333331 0.00276066946105955 -2.96666666666667
2L santa-maria FBgn0025697 FBtr0079464 2302 90 0.0313664018761202 392.40487 47 0.0012845156444616 1296.56513 30 0.0768737988468931 390.25 15 0.0115495668912416 1298.75 0.0912758104195392 -0.0444444444444445
2L CG5885 FBgn0025700 FBtr0079900 890 39 0.0254464361838007 133.794053333333 3 6.87911421026276e-05 436.205946666667 6 0.0450563204005007 133.166666666667 1 0.00228920259442961 436.833333333334 0.045654901476777 0.538461538461538
3R mbo FBgn0026207 FBtr0082668 2566 62 0.01192051866545 507.989499999998 31 0.0020458434371567 1598.01050000001 47 0.0946434439697671 507.166666666665 44 0.0293964349004481 1598.83333333334 0.0905081746045998 0.465909090909091
3R alpha-Man-IIb FBgn0026616 FBtr0083179 5384 124 0.0182260581605309 885.698875333338 38 0.000961604635979494 2861.23657666666 100 0.112676056338028 887.500000000005 15 0.00524567232033574 2859.49999999999 -0.00563141994031485 -1.04301075268817
2R fat-spondin FBgn0026721 FBtr0086975 2475 65 0.0151821050579561 548.001796666665 38 0.000866703049369852 1740.99820333334 55 0.102096627164996 548.499999999999 14 0.00804366561332948 1740.50000000001 0.0190268893975904 -1.2967032967033
2L Ugt37b1 FBgn0026755 FBtr0079242 1740 81 0.0272653949721804 380.983337333333 53 0.00388817688103132 1230.01666266667 40 0.110103768432551 381.458333333333 43 0.0358403475427641 1227.66666666667 0.120769054330119 0.391329313809934
2L Tehao FBgn0026760 FBtr0080502 2749 120 0.0321364203172812 570.066691666666 35 0.00114257878753676 1814.94830833334 55 0.0964066608238389 570.499999999999 23 0.012675668228162 1814.50000000001 0.0818694369411432 0.302536231884058
X CG4325 FBgn0026878 FBtr0070342 583 10 0.00500128272340089 99.3226666666667 7 0.000826533530043722 374.677333333333 11 0.110367892976589 99.6666666666667 6 0.0160284951024043 374.333333333333 -0.015014260741877 -0.283333333333333
X Tcp-1zeta FBgn0027329 FBtr0074086 1924 84 0.0261058257668695 388.411999999999 10 8.26242795171596e-05 1210588 20 0.0514138817480721 388.999999999999 4 0.00330578512396694 1210 0.057258118331623 0.404761904761905
2L Tps1 FBgn0027560 FBtr0077431 2920 129 0.0289163997443711 592.823333333333 3 0.000122463759107995 1834.17666666667 49 0.0877822325385103 592375 15 0.00872112829597326 1834.62500000001 0.0861540024619577 0.924031007751938
3R CG10345 FBgn0027562 FBtr0083360 2423 58 0.0193025298362626 390.373999999999 11 0.000193728789163125 1265626 28 0.0717642033319095 390.166666666666 7 0.00552995391705069 1265.83333333333 0.0616075519946278 0.241379310344828
3R CG4757 FBgn0027584 FBtr0082339 1729 52 0.0150565551464443 392.038504166666 53 0.0029718870746534 1257.89849583333 53 0.135347946371569 391.583333333333 12 0.00953579233163366 1258.41666666667 -0.0990275059097532 -3.50160256410256
3R glob1 FBgn0027657 FBtr0083245 961 15 0.0191986996500767 106.881833333333 8 0.00159802957220301 352.118166666667 5 0.0467289719626169 107 1 0.00284090909090909 352 -0.0195292334628656 -1.66666666666667
3R MP1 FBgn0027930 FBtr0300936 1495 5 0.00247705420656368 291.847666666667 6 0.000153117666860964 905.152333333332 29 0.0995280995280994 291375 27 0.0298136645962733 905.624999999999 0.172287158814179 -0.288888888888889
3R TotA FBgn0028396 FBtr0083971 579 16 0.0132442084293167 90.1862746666667 12 0.00130181454748421 296.813725333333 6 0.0662983425414365 90.5 14 0.0472175379426644 296.5 0.326459098623511 0.678571428571429
2R Nxt1 FBgn0028411 FBtr0072241 527 16 0.00381797385975257 89.6683333333333 0 0 309.331666666667 13 0.141818181818182 91.6666666666666 7 0.0227765726681128 307.333333333333 0.138379699518367 1
3R ECSIT FBgn0028436 FBtr0078647 1330 6 0.000644583236127145 277978 9 0.000623287758134501 949.021999999998 49 0.180045011252813 277.708333333333 9 0.00948075319317037 949.291666666664 -0.441578316428265 -7.16666666666667
2R CG8801 FBgn0028473 FBtr0088554 2181 76 0.0195999970857641 459.901833333332 8 6.14227714715637e-05 1496.09816666667 19 0.041237113402062 460.749999999998 5 0.00334392242099983 1495.25 0.0718837075371466 0.6
2L CG9008 FBgn0028540 FBtr0080576 1987 35 0.0182132738975952 206.723833333334 2 7.50238844048024e-05 684.276166666666 10 0.0483870967741935 206.666666666667 1 0.00146127618119825 684.333333333333 0.0252121317171163 0.428571428571429
2L TM9SF4 FBgn0028541 FBtr0080532 2461 70 0.0160382075946098 461.469166666666 16 0.000330004535925587 1428.53083333334 38 0.0824593128390598 460.833333333333 4 0.00279883381924198 1429.16666666667 0.0126664520029368 -1.17142857142857
2L CG15263 FBgn0028853 FBtr0080729 1048 55 0.0339461661375549 200.639439666667 58 0.00531344997302564 675.297560333333 19 0.0946058091286306 200.833333333334 4 0.00592446309553197 675.166666666666 -0.0764092332148848 -4.00909090909091
3L Uba2 FBgn0029113 FBtr0076734 2329 51 0.0103164470460114 467.612629999999 32 0.00147691341647888 1632.37237 38 0.0810810810810813 468.666666666665 15 0.00919493257049446 1631.33333333334 -0.0233790678006863 -0.589542483660131
3L Hml FBgn0029167 FBtr0075753 11756 516 0.032321033687449 2599.01679816668 234 0.00143984821389276 8929.98320183342 221 0.0854051454676601 2599.37500000001 62 0.00705516749023609 8929.62500000008 0.0336564011784691 -0.616466616654163
3R Aos1 FBgn0029512 FBtr0082593 1167 24 0.00439565658416216 249.600794666667 21 0.00173455619958567 761.399205333333 32 0.128772635814889 248.5 7 0.00918032786885246 762.5 -0.216405240852066 -3
X CG13365 FBgn0029529 FBtr0070160 499 7 0.00387720345907498 79.5033333333333 1 0.000230069757721182 262.496666666666 10 0.138947368421053 79.1666666666666 2 0.00760938490805327 262.833333333333 -0.0040941266219859 0.285714285714286
X CG16756 FBgn0029765 FBtr0070776 521 25 0.0360296129134263 108.3965 13 0.00175927922768694 347.6035 13 0.119907763259032 108.416666666667 3 0.00863102373531527 347.583333333333 0.0205917726385816 -1.25333333333333
X CG12116 FBgn0030041 FBtr0071240 1570 37 0.0218962335926879 189.446108516667 31 0.00307594153992547 629.553891483333 12 0.0634920634920634 189 6 0.00952380952380952 630 0.00726002816336409 -0.675675675675676
X CG15369 FBgn0030105 FBtr0071309 444 20 0.0293055275093918 88.9364875 16 0.00446878326486883 277.0635125 9 0.099128040385498 90.7916666666666 18 0.0763058289174867 275.208333333333 0.302641859306506 0.6
X Vago FBgn0030262 FBtr0073427 684 16 0.0161167551282317 118.880508333333 11 0.00154911471097969 361.119491666667 5 0.0421348314606742 118.666666666667 15 0.0415129151291513 361.333333333333 0.408592834416796 0.770833333333333
X CG1749 FBgn0030305 FBtr0073505 1432 25 0.00517647661367259 288.865706666667 23 0.00247107199680665 923.134293333331 20 0.0689061154177433 290.25 4 0.00433957146731761 921.749999999998 -0.263872703639236 -3.6
X Spase25 FBgn0030306 FBtr0073506 821 16 0.00400971115289597 139.164166666667 7 0.000152930048133617 457.835833333334 9 0.064748201438849 139 1 0.00218340611353711 458.000000000001 -0.00411725488322928 -2.9375
X PGRP-SA FBgn0030310 FBtr0073509 1018 27 0.0186863489200187 151.489166666667 9 0.000338518810792593 457.510833333334 11 0.072289156626506 152.166666666667 5 0.0109449106165633 456.833333333334 0.113702073107661 0.266666666666667
X regucalcin FBgn0030362 FBtr0073578 1083 53 0.0325276163097533 239.183166666667 10 0.000226516610512973 717.816833333333 16 0.0664359861591695 240.833333333334 4 0.00558529206423086 716.166666666666 0.0706349173041604 0.245283018867924
X spheroide FBgn0030774 FBtr0074363 1263 42 0.022819831336862 191.032126333333 21 0.00372910127496388 555.967873666667 14 0.0729483282674771 191.916666666667 14 0.0252214382224891 555.083333333333 0.116455116245197 0.5
X psh FBgn0030926 FBtr0074629 1645 75 0.0326359685403329 299.793796666667 28 0.00120089941684629 882.206203333332 33 0.109452736318408 301.5 14 0.0170357751277683 880.499999999999 0.099191534523219 0.12
X Mur18B FBgn0030999 FBtr0074672 1615 75 0.025560088031348 355.328318666666 75 0.00410204814650644 1087.67168133333 14 0.03943661971831 354.999999999999 7 0.00643382352941177 1088 0.00196836159546759 -1
X et FBgn0031055 FBtr0308571 2368 79 0.0199000019548881 464.350193129166 64 0.00383373126798507 1470.64980687083 43 0.0948275862068968 463.999999999999 68 0.0462270564242012 1471 0.166193559684496 0.48771407297096
X Ntf-2 FBgn0031145 FBtr0077241 755 10 0.00488183584948508 89.1526666666666 0 0 300.847333333333 14 0.157598499061914 88.8333333333333 1 0.00332042058660764 301.166666666667 0.0206341217916457 1
X Cyp6t1 FBgn0031182 FBtr0077212 1785 30 0.0116742839004432 387.967214666666 13 0.000725194921614053 1199.03278533333 38 0.0975192472198461 389.666666666666 27 0.0225501113585746 1197.33333333333 0.129323123640948 0.390123456790123
2L CG5118 FBgn0031317 FBtr0077979 1801 62 0.018395954463067 363.630849999999 29 0.00187257374173579 1208.36915 31 0.0919006730099793 359.083333333333 47 0.039647577092511 1210.66666666667 0.209003655785439 0.691489361702128
2L CG15385 FBgn0031397 FBtr0077845 2635 70 0.0238938662653282 434.697999999999 23 0.00138078973678218 1326302 34 0.0782058654399082 434.749999999999 5 0.00377002827521206 1326.25 -0.0086419213210924 -1.23428571428571
2L CG3609 FBgn0031418 FBtr0077791 1223 46 0.0313938502922546 233.648666666667 13 0.00177961273261049 771.351333333333 15 0.0681818181818181 234.666666666667 8 0.0116832540025963 770.333333333332 0.0926417305446265 0.470108695652174
2L CG9664 FBgn0031515 FBtr0077605 2973 123 0.0399314367207085 443.387733803332 76 0.00268995494663881 1383.61226619667 31 0.0698854029682511 443.583333333332 7 0.00505993614842479 1383.41666666667 0.00440223094152595 -1.73635307781649
2L Sr-CIV FBgn0031547 FBtr0077560 1390 60 0.0312648457192705 270.2505254675 95 0.012309870203398 947.734474532499 17 0.0667387610072609 269.708333333333 30 0.0316358363724241 948.291666666665 0.0390851242823298 0.102777777777778
2L CG16713 FBgn0031560 FBtr0077547 325 15 0.0201229906798173 56.1683333333334 11 0.000960146075314427 189.831666666667 3 0.0535714285714285 56 6 0.0315789473684211 190 0.32531997722319 0.633333333333333
2L CG16712 FBgn0031561 FBtr0077546 359 12 0.0236445781833853 55858 3 0.00181904810628992 190142 4 0.0716417910447761 55.8333333333334 6 0.0315512708150745 190.166666666667 0.234312804751832 0.833333333333333
2L CG14040 FBgn0031676 FBtr0079009 1605 41 0.0161097302370022 285.321166666667 17 0.00110170392226941 878.678833333332 24 0.0839160839160839 286 8 0.0091116173120729 877.999999999999 0.0339352042166617 -0.24390243902439
2L Cyp4ac2 FBgn0031694 FBtr0300456 1709 92 0.0452087751453301 335.888619166666 47 0.00255607025945321 1197.09638083333 27 0.080456915818227 335.583333333333 12 0.0100215742222841 1197.41666666667 0.0572483226630853 -0.149456521739131
2L TotM FBgn0031701 FBtr0079073 552 19 0.0234524503386325 96.417653 20 0.00783366232627909 296.582347 13 0.135064935064935 96.25 14 0.0471777590564448 296.75 0.00848540803976078 0.0225563909774437
2L CG13994 FBgn0031772 FBtr0079188 631 19 0.021528151807998 109674 9 0.000678583959362569 379326 8 0.0730593607305937 109.5 10 0.0263504611330698 379.5 0.234511417106182 0.621052631578947
2L CG13795 FBgn0031937 FBtr0300709 2234 82 0.0196122116030862 414.348366333333 56 0.00195068336058977 1367.58995666667 55 0.132198297446169 416.041666666666 24 0.0175700820547235 1365.95833333333 0.0268502131688997 -0.565040650406504
2L pes FBgn0031969 FBtr0114550 2915 65 0.0206216595024695 396.088203333333 26 0.000896976801251565 1268.91179666667 30 0.080778332895083 396.145833333333 37 0.0291774137902709 1268.10416666667 0.22367225016906 0.675675675675676
2L Tg FBgn0031975 FBtr0079533 2797 144 0.0391410615907813 549.740498875832 46 0.0014980878257877 1778.25902112417 54 0.0998411617880647 550.874999999998 8 0.00506435956952941 1777.12500000001 0.0114122651478265 -1.15625
2L CG9510 FBgn0032076 FBtr0100481 1580 50 0.0210691322063734 336.771604166666 37 0.00189737730426625 1070.21339583333 18 0.05316268766921 338.583333333333 5 0.00467982216675767 1068.41666666666 -0.00170868397516659 -1664
2L IP3K1 FBgn0032147 FBtr0079869 2055 51 0.0140057767228943 312.361751666667 29 0.00107449623363687 1010.63824833333 10 0.0319659030367608 312.833333333333 4 0.00395974261672992 1010.16666666666 0.0389687235274915 -0.42156862745098
2L Etl1 FBgn0032157 FBtr0079901 3076 113 0.0201357414993932 571.328333333332 16 0.000324426456027508 1960.67166666668 35 0.0613317757009347 570.666666666665 4 0.00203942895989122 1961.33333333334 0.016325775553419 -0.238938053097345
2L CG5367 FBgn0032228 FBtr0080055 1405 36 0.0125634249475416 223.587945333334 37 0.0036894083288971 790.412054666666 17 0.0754437869822485 225.333333333334 9 0.0114116652578191 788.666666666666 -0.0956140723784456 -0.941358024691358
2L CG9928 FBgn0032472 FBtr0080496 410 9 0.0125277862774719 74.90814 18 0.00292176305493532 243.044868 6 0.0795580110497237 75.4166666666667 6 0.0247337684644452 242.583333333333 0.0480429353821926 -1
2L Ski6 FBgn0032487 FBtr0080483 911 26 0.0127755280453493 178841 5 0.000201335932262179 559159 14 0.0782122905027932 179 2 0.0035778175313059 559 0.0282288991758355 -0.346153846153846
2L CG5953 FBgn0032587 FBtr0080873 3534 79 0.0183454389868895 507.845614999997 35 0.00105930360647443 1595.15438500001 33 0.0646108663729812 510.749999999998 31 0.0207449316360207 1590.75 0.188450751790901 0.528378930175582
2L CG6639 FBgn0032638 FBtr0081004 1587 25 0.000991814525849035 363.396833333333 37 0.00192749906773735 1118.60316666667 63 0.184997699033594 362.166666666667 123 0.113182324545117 1122.08333333333 -0.280680474292742 0.241951219512195
2L CG18563 FBgn0032639 FBtr0300902 1251 9 0.00200037296251327 268.988833333334 28 0.00200478314062309 868.044166666666 35 0.138285447325391 267.5625 134 0.158187197806163 866.0625 0.0330136646951289 0.187396351575456
2L CG10333 FBgn0032690 FBtr0081072 2656 76 0.0217071204885312 577.646667333333 18 0.000554753909749005 1888.35333266667 54 0.0935199884543224 577.416666666667 7 0.00370648193090058 1888.58333333334 0.0132026874339057 -0.827067669172932
2L CG13077 FBgn0032810 FBtr0081257 1146 17 0.00988236895256562 203.691325 8 0.000317731977815869 603.308675 17 0.0831634732980023 204.416666666667 7 0.0116166505324298 602.583333333333 0.0914143193852816 -0.142857142857143
2L CG10680 FBgn0032836 FBtr0081303 1026 26 0.0127334837351077 189.785031 31 0.00307196921497709 563.214639 14 0.0737165423431329 189.916666666667 17 0.0301909131271274 563.083333333333 0.0961944403695865 0.0180995475113122
2R Ars2 FBgn0033062 FBtr0086018 3419 34 0.00582609426143352 642.171776000001 24 0.000763844913352625 2186.82822400001 72 0.112033195020747 642.666666666668 29 0.0132642171062662 2186.33333333334 -0.0100489083414885 -0.752535496957404
2R Tsp42Eh FBgn0033129 FBtr0089026 1010 11 0.00616818460859307 168.484988 11 0.000942099829044506 524.500012000001 14 0.0888450148075024 168.833333333333 13 0.0248012718600953 524.166666666668 0.0857339442540292 -0.0769230769230769
2R Gadd45 FBgn0033153 FBtr0089049 1495 7 0.00870841031415076 114152 1 2.6689142224847e-05 374848 9 0.0784883720930233 114.666666666667 1 0.00267141585040071 374.333333333334 0.0298601197108085 -0.285714285714286
2R Corin FBgn0033192 FBtr0088909 8512 73 0.00573637256227859 1033.27432966667 45 0.000635904429818784 3157.72567033332 110 0.107376058041112 1033.75000000001 12 0.003800775991765 3157.24999999999 -0.0656055773903101 -4.65068493150685
2R CG1358 FBgn0033196 FBtr0088948 3374 39 0.0105487214618966 366.666423333333 15 0.000411215902136115 1079.33357666667 23 0.0626418520199728 367.166666666666 1 0.000926927236211958 1078.83333333333 -0.0229384279739421 -7.84615384615385
2R CG2070 FBgn0033203 FBtr0088921 1105 18 0.00648673182532337 229.070514 20 0.00128944709683692 746.319486 26 0.113248638838475 229.583333333334 7 0.00939072107322527 745.416666666666 -0.0892483055121572 -3.12698412698413
2R CG14762 FBgn0033250 FBtr0304750 3801 34 0.0156331885898807 350.344999999999 5 0.000239107196929448 1143655 23 0.0654493715911787 351.416666666666 6 0.00525125811392314 1142.58333333333 0.0592101224936452 0.436274509803922
2R CG12780 FBgn0033301 FBtr0088736 432 9 0.00870428325454845 76.1351666666666 8 0.00131027296737427 223.864833333333 7 0.0927152317880795 75.5 5 0.022271714922049 224.5 0.0628522236003036 -0.244444444444444
